Date,Open,High,Low,Close,Volume
2022-07-31 23:30,23709,23931,23673,23762,0.1541
2022-08-01 01:30,23742,23769,23197,23348,0.1207
2022-08-01 03:30,23348,23429,23224,23341,0.1537
2022-08-01 05:30,23342,23433,23301,23391,0.1266
2022-08-01 07:30,23387,23400,23285,23362,0.0979
2022-08-01 09:30,23362,23381,23130,23192,0.0940999999999999
2022-08-01 11:30,23193,23342,23092,23258,0.1061
2022-08-01 13:30,23258,23338,22957,23002,0.1067
2022-08-01 15:30,23003,23278,22916,23109,0.1139
2022-08-01 17:30,23108,23463,22940,23405,0.1609
2022-08-01 19:30,23405,23432,23118,23171,0.1356
2022-08-01 21:30,23171,23177,22828,22925,0.1328
2022-08-01 23:30,22925,23093,22849,23093,0.1246999999999999
2022-08-02 01:30,23074,23159,22889,23143,0.1188999999999999
2022-08-02 03:30,23143,23409,23141,23155,0.175
2022-08-02 05:30,23155,23209,22807,22874,0.1502
2022-08-02 07:30,22875,22886,22734,22834,0.1387999999999999
2022-08-02 09:30,22834,22893,22814,22848,0.0988
2022-08-02 11:30,22848,22880,22695,22781,0.1427
2022-08-02 13:30,22781,22832,22632,22825,0.1376
2022-08-02 15:30,22825,22935,22640,22702,0.1419
2022-08-02 17:30,22702,23108,22649,22991,0.2299999999999999
2022-08-02 19:30,22990,23408,22856,23348,0.1927
2022-08-02 21:30,23348,23398,22940,22950,0.183
2022-08-02 23:30,22950,23055,22856,22985,0.1636
2022-08-03 01:30,22991,23113,22914,23070,0.1156
2022-08-03 03:30,23070,23096,22712,22759,0.16
2022-08-03 05:30,22759,22814,22662,22739,0.155
2022-08-03 07:30,22739,22856,22737,22804,0.12
2022-08-03 09:30,22804,23030,22774,23014,0.1196
2022-08-03 11:30,23014,23260,22936,23259,0.1437
2022-08-03 13:30,23259,23403,23255,23375,0.1336999999999999
2022-08-03 15:30,23375,23597,23223,23230,0.1694999999999999
2022-08-03 17:30,23229,23392,23183,23273,0.1859
2022-08-03 19:30,23273,23484,23230,23415,0.155
2022-08-03 21:30,23415,23531,23386,23463,0.1418
2022-08-03 23:30,23463,23505,23219,23285,0.1298
2022-08-04 01:30,23293,23330,22858,22903,0.141
2022-08-04 03:30,22903,22988,22700,22973,0.1688
2022-08-04 05:30,22973,23188,22971,23106,0.1516
2022-08-04 07:30,23106,23133,23002,23055,0.1221
2022-08-04 09:30,23057,23145,22794,22902,0.1489
2022-08-04 11:30,22901,22991,22742,22764,0.1496
2022-08-04 13:30,22764,22920,22759,22832,0.138
2022-08-04 15:30,22832,22939,22723,22865,0.1432999999999999
2022-08-04 17:30,22865,23102,22753,22882,0.188
2022-08-04 19:30,22883,22937,22502,22552,0.1742
2022-08-04 21:30,22552,22674,22373,22509,0.1628
2022-08-04 23:30,22510,22596,22401,22472,0.1368
2022-08-05 01:30,22485,22598,22423,22591,0.1095
2022-08-05 03:30,22591,22641,22545,22601,0.1192999999999999
2022-08-05 05:30,22601,23074,22600,23012,0.1473
2022-08-05 07:30,23013,23204,23013,23120,0.1176
2022-08-05 09:30,23120,23381,23038,23244,0.1397
2022-08-05 11:30,23244,23251,23067,23110,0.1045
2022-08-05 13:30,23109,23211,23075,23157,0.1062
2022-08-05 15:30,23157,23425,22888,22971,0.1926
2022-08-05 17:30,22971,23311,22846,23143,0.209
2022-08-05 19:30,23143,23155,22878,22993,0.1879
2022-08-05 21:30,22992,23054,22723,22766,0.1512
2022-08-05 23:30,22766,22949,22743,22927,0.1977
2022-08-06 01:30,22922,23224,22921,23185,0.2007999999999999
2022-08-06 03:30,23185,23292,23096,23205,0.2096
2022-08-06 05:30,23204,23235,23127,23205,0.1595
2022-08-06 07:30,23205,23224,23095,23149,0.1758
2022-08-06 09:30,23149,23173,23080,23127,0.1551
2022-08-06 11:30,23128,23195,23049,23090,0.1304
2022-08-06 13:30,23091,23157,23075,23121,0.1154
2022-08-06 15:30,23120,23147,23092,23114,0.1186
2022-08-06 17:30,23114,23178,23109,23162,0.1412999999999999
2022-08-06 19:30,23163,23174,23084,23097,0.1661
2022-08-06 21:30,23097,23198,22927,23124,0.2059
2022-08-06 23:30,23124,23150,23050,23113,0.1832
2022-08-07 01:30,23113,23176,23113,23136,0.1161
2022-08-07 03:30,23136,23136,22813,22850,0.1506
2022-08-07 05:30,22850,22963,22821,22957,0.1316
2022-08-07 07:30,22957,23004,22906,22914,0.1246
2022-08-07 09:30,22914,22980,22912,22967,0.1122
2022-08-07 11:30,22967,22987,22869,22884,0.1227
2022-08-07 13:30,22884,22971,22857,22961,0.1274
2022-08-07 15:30,22960,23105,22927,23083,0.1383
