Date,Open,High,Low,Close,Volume
2022-07-31 23:30,1706,1729,1702,1719,4.6963
2022-08-01 01:30,1717,1722,1664,1683,5.2577
2022-08-01 03:30,1683,1692,1672,1686,7.4585
2022-08-01 05:30,1686,1702,1682,1693,6.4761
2022-08-01 07:30,1693,1695,1681,1693,6.0674
2022-08-01 09:30,1693,1695,1673,1683,6.4325
2022-08-01 11:30,1683,1694,1672,1681,6.816599999999999
2022-08-01 13:30,1681,1690,1650,1655,6.5419
2022-08-01 15:30,1655,1675,1640,1654,7.9637
2022-08-01 17:30,1654,1688,1635,1684,9.9485
2022-08-01 19:30,1684,1686,1650,1653,8.6372
2022-08-01 21:30,1653,1653,1614,1625,8.8082
2022-08-01 23:30,1625,1630,1609,1626,7.3392
2022-08-02 01:30,1625,1631,1605,1627,5.0595
2022-08-02 03:30,1627,1655,1622,1631,7.6667
2022-08-02 05:30,1630,1639,1580,1586,8.223
2022-08-02 07:30,1586,1586,1564,1574,7.3258
2022-08-02 09:30,1574,1591,1572,1584,5.8441
2022-08-02 11:30,1585,1593,1571,1579,7.2493
2022-08-02 13:30,1579,1588,1557,1585,7.761
2022-08-02 15:30,1585,1595,1563,1569,7.7003
2022-08-02 17:30,1569,1634,1565,1621,10.3026
2022-08-02 19:30,1621,1673,1605,1667,10.1893
2022-08-02 21:30,1666,1675,1632,1633,8.7275
2022-08-02 23:30,1633,1653,1620,1650,8.6106
2022-08-03 01:30,1649,1658,1633,1645,5.329000000000001
2022-08-03 03:30,1645,1649,1591,1597,8.5003
2022-08-03 05:30,1597,1616,1588,1605,8.158199999999999
2022-08-03 07:30,1605,1624,1604,1612,7.2186
2022-08-03 09:30,1612,1641,1611,1632,6.8504000000000005
2022-08-03 11:30,1632,1649,1624,1648,7.241
2022-08-03 13:30,1648,1662,1645,1657,7.126200000000001
2022-08-03 15:30,1657,1682,1648,1652,8.1113
2022-08-03 17:30,1652,1667,1644,1652,9.1391
2022-08-03 19:30,1652,1669,1645,1662,7.979100000000001
2022-08-03 21:30,1662,1668,1652,1661,7.5188
2022-08-03 23:30,1661,1665,1630,1640,7.4707
2022-08-04 01:30,1640,1645,1614,1620,5.6202000000000005
2022-08-04 03:30,1619,1641,1605,1638,8.1949
2022-08-04 05:30,1638,1657,1638,1652,7.190799999999999
2022-08-04 07:30,1652,1657,1644,1653,6.5927
2022-08-04 09:30,1653,1661,1614,1625,7.370799999999999
2022-08-04 11:30,1624,1632,1611,1613,7.2783
2022-08-04 13:30,1613,1628,1611,1614,6.7364
