Date,Open,High,Low,Close,Volume
2022-07-31 23:30,7.17,7.34,7.14,7.21,4.9455
2022-08-01 01:30,7.19,7.26,6.89,6.94,3.9759
2022-08-01 03:30,6.94,7.03,6.85,7.02,5.283
2022-08-01 05:30,7.02,7.16,6.98,7.04,4.932
2022-08-01 07:30,7.05,7.07,6.97,7.06,3.348
2022-08-01 09:30,7.07,7.08,6.88,6.93,4.5
2022-08-01 11:30,6.94,7.02,6.86,6.93,4.3155
2022-08-01 13:30,6.92,7.01,6.8,6.81,4.576499999999999
2022-08-01 15:30,6.81,6.91,6.76,6.82,5.394
2022-08-01 17:30,6.82,7.06,6.74,7.02,9.324
2022-08-01 19:30,7.02,7.03,6.89,6.96,5.593500000000001
2022-08-01 21:30,6.96,6.96,6.69,6.74,6.2865
2022-08-01 23:30,6.74,6.85,6.71,6.85,3.7125
2022-08-02 01:30,6.82,6.83,6.72,6.81,2.8649
2022-08-02 03:30,6.82,6.94,6.81,6.82,4.599
2022-08-02 05:30,6.82,6.87,6.56,6.59,6.192
2022-08-02 07:30,6.59,6.59,6.3,6.38,6.4575
2022-08-02 09:30,6.38,6.44,6.37,6.42,3.303
2022-08-02 11:30,6.42,6.45,6.34,6.38,4.6125
2022-08-02 13:30,6.38,6.48,6.32,6.46,5.184
2022-08-02 15:30,6.46,6.51,6.35,6.37,4.3155
2022-08-02 17:30,6.37,6.6,6.36,6.58,10.8675
2022-08-02 19:30,6.57,6.75,6.48,6.72,7.983
2022-08-02 21:30,6.73,6.74,6.55,6.55,4.906499999999999
2022-08-02 23:30,6.56,6.62,6.49,6.55,5.1435
2022-08-03 01:30,6.52,6.58,6.47,6.55,3.0529
2022-08-03 03:30,6.55,6.57,6.33,6.35,7.0785
2022-08-03 05:30,6.35,6.45,6.33,6.4,4.5045
2022-08-03 07:30,6.39,6.56,6.39,6.54,4.5405
2022-08-03 09:30,6.54,6.72,6.53,6.68,4.5855
2022-08-03 11:30,6.68,6.82,6.66,6.79,3.735
2022-08-03 13:30,6.79,6.82,6.76,6.8,3.7575
2022-08-03 15:30,6.81,6.91,6.77,6.78,4.7025
2022-08-03 17:30,6.79,6.84,6.71,6.75,6.787100000000001
2022-08-03 19:30,6.76,6.87,6.73,6.84,4.2045
2022-08-03 21:30,6.84,6.85,6.78,6.84,3.384
2022-08-03 23:30,6.83,6.85,6.75,6.77,3.9165
2022-08-04 01:30,6.74,6.8,6.61,6.63,5.4823
