Date,Open,High,Low,Close,Volume
2022-07-31 23:30,0.938,0.947,0.93,0.938,14.957999999999998
2022-08-01 01:30,0.937,0.939,0.895,0.91,18.504
2022-08-01 03:30,0.909,0.921,0.901,0.919,23.868
2022-08-01 05:30,0.92,0.931,0.91,0.916,15.732
2022-08-01 07:30,0.916,0.919,0.908,0.912,12.966
2022-08-01 09:30,0.911,0.915,0.892,0.899,12.816
2022-08-01 11:30,0.9,0.91,0.888,0.9,11.25
2022-08-01 13:30,0.9,0.907,0.878,0.881,12.384
2022-08-01 15:30,0.881,0.897,0.875,0.885,17.526
2022-08-01 17:30,0.885,0.917,0.872,0.91,36.459
2022-08-01 19:30,0.911,0.912,0.891,0.893,20.97
2022-08-01 21:30,0.893,0.893,0.868,0.879,24.723
2022-08-01 23:30,0.878,0.889,0.874,0.88,14.814
2022-08-02 01:30,0.881,0.882,0.862,0.88,13.557
2022-08-02 03:30,0.879,0.888,0.869,0.871,19.974
2022-08-02 05:30,0.87,0.879,0.846,0.85,20.664
2022-08-02 07:30,0.849,0.849,0.833,0.842,18.108
2022-08-02 09:30,0.841,0.852,0.841,0.849,12.936
2022-08-02 11:30,0.849,0.851,0.84,0.844,13.674
2022-08-02 13:30,0.843,0.857,0.833,0.856,15.426000000000002
2022-08-02 15:30,0.855,0.865,0.839,0.843,15.042
2022-08-02 17:30,0.843,0.87,0.84,0.868,29.097
2022-08-02 19:30,0.867,0.891,0.855,0.885,24.3
2022-08-02 21:30,0.884,0.89,0.865,0.866,17.739
2022-08-02 23:30,0.867,0.875,0.856,0.87,14.652
2022-08-03 01:30,0.871,0.881,0.861,0.875,10.458
2022-08-03 03:30,0.874,0.877,0.84,0.845,23.886000000000003
2022-08-03 05:30,0.844,0.862,0.841,0.856,14.238
2022-08-03 07:30,0.856,0.874,0.855,0.869,12.762
2022-08-03 09:30,0.868,0.885,0.867,0.878,9.54
2022-08-03 11:30,0.878,0.887,0.872,0.886,9.456
