Date,Open,High,Low,Close,Volume
2022-07-31 23:30,8.2,8.33,8.09,8.13,15.7048
2022-08-01 01:30,8.07,8.16,7.7,7.82,16.7148
2022-08-01 03:30,7.81,7.82,7.63,7.75,31.4498
2022-08-01 05:30,7.76,7.92,7.72,7.73,28.4884
2022-08-01 07:30,7.73,7.81,7.7,7.78,18.2374
2022-08-01 09:30,7.78,7.8,7.61,7.69,24.0396
2022-08-01 11:30,7.69,7.78,7.6,7.72,24.6694
2022-08-01 13:30,7.73,7.76,7.48,7.49,29.8552
2022-08-01 15:30,7.48,7.67,7.45,7.56,25.326
2022-08-01 17:30,7.56,7.83,7.45,7.79,43.2954
2022-08-01 19:30,7.79,7.82,7.6,7.6,30.217
2022-08-01 21:30,7.61,7.61,7.39,7.48,34.17
2022-08-01 23:30,7.48,7.6,7.44,7.6,16.4686
2022-08-02 01:30,7.57,7.62,7.43,7.6,14.4867
2022-08-02 03:30,7.59,7.78,7.54,7.55,26.7732
2022-08-02 05:30,7.55,7.65,7.29,7.35,37.721
2022-08-02 07:30,7.34,7.41,7.22,7.34,37.855
2022-08-02 09:30,7.33,7.56,7.33,7.38,29.2837
2022-08-02 11:30,7.38,7.39,7.18,7.22,22.847
2022-08-02 13:30,7.21,7.38,7.16,7.34,24.4416
2022-08-02 15:30,7.35,7.47,7.28,7.32,29.6837
2022-08-02 17:30,7.32,7.67,7.29,7.63,55.9986
2022-08-02 19:30,7.63,8.01,7.48,7.99,52.7558
2022-08-02 21:30,7.98,8.01,7.68,7.69,40.2536
2022-08-02 23:30,7.69,7.79,7.62,7.74,37.0778
2022-08-03 01:30,7.71,7.81,7.62,7.74,16.8697
2022-08-03 03:30,7.74,7.79,7.39,7.43,47.650400000000005
2022-08-03 05:30,7.43,7.57,7.37,7.53,36.7026
2022-08-03 07:30,7.53,7.65,7.51,7.62,24.7096
2022-08-03 09:30,7.61,7.84,7.61,7.81,28.7698
2022-08-03 11:30,7.8,8.0,7.78,7.94,31.9056
2022-08-03 13:30,7.94,8.45,7.85,8.43,40.9372
2022-08-03 15:30,8.42,8.73,8.4,8.51,51.2282
2022-08-03 17:30,8.52,8.55,8.32,8.41,45.6828
2022-08-03 19:30,8.41,8.51,8.29,8.41,34.6524
2022-08-03 21:30,8.41,8.42,8.29,8.34,26.0496
2022-08-03 23:30,8.33,8.48,8.29,8.39,26.0764
2022-08-04 01:30,8.35,8.48,8.16,8.24,28.7783
2022-08-04 03:30,8.24,8.52,8.11,8.11,47.079
2022-08-04 05:30,8.11,8.31,8.11,8.3,26.4382
2022-08-04 07:30,8.29,8.38,8.26,8.28,32.897
2022-08-04 09:30,8.29,8.34,8.02,8.08,39.7578
2022-08-04 11:30,8.08,8.16,7.97,8.01,39.19499999999999
2022-08-04 13:30,8.01,8.22,7.99,8.15,34.370999999999995
2022-08-04 15:30,8.15,8.24,8.0,8.2,41.138000000000005
2022-08-04 17:30,8.2,8.46,8.06,8.09,61.4748
2022-08-04 19:30,8.09,8.2,8.05,8.06,41.7008
2022-08-04 21:30,8.06,8.11,7.88,8.06,31.3164
2022-08-04 23:30,8.05,8.12,8.04,8.09,21.4697
2022-08-05 01:30,8.05,8.14,8.02,8.08,19.4152
2022-08-05 03:30,8.07,8.23,8.07,8.13,32.3476
2022-08-05 05:30,8.13,8.43,8.13,8.36,44.863200000000006
2022-08-05 07:30,8.37,8.51,8.37,8.47,29.9758
2022-08-05 09:30,8.47,8.51,8.33,8.46,37.185
2022-08-05 11:30,8.47,8.6,8.35,8.38,23.316
